attempt_id,user_id,session_id,level_id,status,event_time,attempt_number
1,30,1,1,win,2025-04-01,1
2,30,1,2,win,2025-04-01,1
3,30,1,3,lose,2025-04-01,1
4,78,2,1,win,2025-04-01,1
5,78,2,2,lose,2025-04-01,1
6,78,2,2,quit,2025-04-01,2
7,78,3,2,lose,2025-04-01,3
8,78,3,2,win,2025-04-01,4
9,78,3,3,lose,2025-04-01,1
10,78,3,3,quit,2025-04-01,2
11,78,4,3,lose,2025-04-01,3
12,78,4,3,win,2025-04-01,4
13,78,4,4,win,2025-04-01,1
14,78,4,5,lose,2025-04-01,1
15,78,4,5,lose,2025-04-01,2
16,97,5,1,win,2025-04-01,1
17,97,5,2,win,2025-04-01,1
18,97,5,3,quit,2025-04-01,1
19,97,6,3,win,2025-04-01,2
20,97,6,4,win,2025-04-01,1
21,97,6,5,win,2025-04-01,1
22,97,6,6,quit,2025-04-01,1
23,97,7,6,win,2025-04-01,2
24,97,7,7,win,2025-04-01,1
25,97,7,8,win,2025-04-01,1
26,97,7,9,lose,2025-04-01,1
27,97,7,9,win,2025-04-01,2
28,97,7,10,lose,2025-04-01,1
29,97,7,10,quit,2025-04-01,2
30,97,8,10,win,2025-04-01,3
31,97,8,11,win,2025-04-01,1
32,97,8,12,quit,2025-04-01,1
33,97,9,12,quit,2025-04-01,2
34,157,10,1,quit,2025-04-01,1
35,157,11,1,quit,2025-04-01,2
36,157,12,1,win,2025-04-01,3
37,157,12,2,lose,2025-04-01,1
38,157,12,2,win,2025-04-01,2
39,157,12,3,win,2025-04-01,1
40,157,12,4,win,2025-04-01,1
41,157,12,5,win,2025-04-01,1
42,157,12,6,win,2025-04-01,1
43,157,12,7,win,2025-04-01,1
44,157,12,8,win,2025-04-01,1
45,157,12,9,win,2025-04-01,1
46,157,12,10,quit,2025-04-01,1
47,157,13,10,win,2025-04-01,2
48,157,13,11,win,2025-04-01,1
49,157,13,12,win,2025-04-01,1
50,157,13,13,win,2025-04-01,1
51,157,13,14,win,2025-04-01,1
52,157,13,15,win,2025-04-01,1
53,157,13,16,win,2025-04-01,1
54,157,13,17,win,2025-04-01,1
55,157,13,18,win,2025-04-01,1
56,157,13,19,quit,2025-04-01,1
57,157,14,19,win,2025-04-01,2
58,157,14,20,win,2025-04-01,1
59,157,14,21,win,2025-04-01,1
60,157,14,22,win,2025-04-01,1
61,157,14,23,win,2025-04-01,1
62,157,14,24,win,2025-04-01,1
63,157,14,25,win,2025-04-01,1
64,157,14,26,win,2025-04-01,1
65,157,14,27,quit,2025-04-01,1
66,211,15,1,win,2025-04-01,1
67,211,15,2,win,2025-04-01,1
68,211,15,3,win,2025-04-01,1
69,211,15,4,win,2025-04-01,1
70,211,15,5,win,2025-04-01,1
71,211,15,6,win,2025-04-01,1
72,211,15,7,win,2025-04-01,1
73,211,15,8,win,2025-04-01,1
74,211,15,9,lose,2025-04-01,1
75,211,15,9,lose,2025-04-01,2
76,211,16,9,win,2025-04-01,3
77,211,16,10,win,2025-04-01,1
78,211,16,11,win,2025-04-01,1
79,211,16,12,win,2025-04-01,1
80,211,16,13,win,2025-04-01,1
81,211,16,14,win,2025-04-01,1
82,211,16,15,win,2025-04-01,1
83,211,16,16,win,2025-04-01,1
84,211,16,17,win,2025-04-01,1
85,211,16,18,win,2025-04-01,1
86,231,17,1,win,2025-04-01,1
87,231,17,2,win,2025-04-01,1
88,231,17,3,win,2025-04-01,1
89,231,17,4,win,2025-04-01,1
90,231,17,5,win,2025-04-01,1
91,231,17,6,win,2025-04-01,1
92,231,17,7,win,2025-04-01,1
93,231,17,8,win,2025-04-01,1
94,231,17,9,win,2025-04-01,1
95,231,17,10,win,2025-04-01,1
96,231,18,11,win,2025-04-01,1
97,231,18,12,lose,2025-04-01,1
98,231,18,12,win,2025-04-01,2
99,231,18,13,lose,2025-04-01,1
100,231,18,13,win,2025-04-01,2
101,231,18,14,win,2025-04-01,1
102,231,18,15,win,2025-04-01,1
103,231,18,16,win,2025-04-01,1
104,231,18,17,win,2025-04-01,1
105,231,18,18,win,2025-04-01,1
106,231,18,19,win,2025-04-01,1
107,231,18,20,win,2025-04-01,1
108,231,19,21,lose,2025-04-01,1
109,231,19,21,win,2025-04-01,2
110,231,19,22,win,2025-04-01,1
111,231,19,23,quit,2025-04-01,1
112,231,20,23,win,2025-04-01,2
113,231,20,24,win,2025-04-01,1
114,231,20,25,win,2025-04-01,1
115,231,20,26,win,2025-04-01,1
116,231,20,27,lose,2025-04-01,1
117,231,20,27,win,2025-04-01,2
118,231,20,28,lose,2025-04-01,1
119,231,20,28,win,2025-04-01,2
120,231,20,29,win,2025-04-01,1
121,231,20,30,win,2025-04-01,1
122,231,20,31,win,2025-04-01,1
123,231,20,32,win,2025-04-01,1
124,231,21,33,win,2025-04-01,1
125,231,21,34,win,2025-04-01,1
126,231,21,35,win,2025-04-01,1
127,231,21,36,lose,2025-04-01,1
128,231,21,36,lose,2025-04-01,2
129,231,21,36,win,2025-04-01,3
130,231,21,37,quit,2025-04-01,1
131,231,22,37,win,2025-04-01,2
132,231,22,38,win,2025-04-01,1
133,231,22,39,lose,2025-04-01,1
134,231,22,39,win,2025-04-01,2
135,231,22,40,lose,2025-04-01,1
136,231,22,40,quit,2025-04-01,2
137,249,23,1,win,2025-04-01,1
138,249,23,2,win,2025-04-01,1
139,249,23,3,win,2025-04-01,1
140,249,23,4,win,2025-04-01,1
141,249,23,5,win,2025-04-01,1
142,249,23,6,win,2025-04-01,1
143,249,23,7,win,2025-04-01,1
144,249,23,8,win,2025-04-01,1
145,249,23,9,win,2025-04-01,1
146,249,23,10,win,2025-04-01,1
147,249,23,11,lose,2025-04-01,1
148,249,23,11,win,2025-04-01,2
149,249,23,12,win,2025-04-01,1
150,249,23,13,win,2025-04-01,1
151,249,23,14,win,2025-04-01,1
152,249,23,15,win,2025-04-01,1
153,249,23,16,win,2025-04-01,1
154,249,23,17,win,2025-04-01,1
155,249,23,18,win,2025-04-01,1
156,249,23,19,win,2025-04-01,1
157,249,23,20,win,2025-04-01,1
158,249,24,21,lose,2025-04-01,1
159,249,25,21,win,2025-04-01,2
160,249,25,22,win,2025-04-01,1
161,249,25,23,win,2025-04-01,1
162,249,25,24,win,2025-04-01,1
163,249,25,25,win,2025-04-01,1
164,249,25,26,win,2025-04-01,1
165,249,25,27,win,2025-04-01,1
166,249,25,28,win,2025-04-01,1
167,249,25,29,win,2025-04-01,1
168,249,25,30,lose,2025-04-01,1
169,249,25,30,win,2025-04-01,2
170,249,25,31,win,2025-04-01,1
171,249,25,32,win,2025-04-01,1
172,249,25,33,lose,2025-04-01,1
173,249,25,33,win,2025-04-01,2
174,249,25,34,win,2025-04-01,1
175,249,25,35,win,2025-04-01,1
176,249,25,36,lose,2025-04-01,1
177,249,25,36,lose,2025-04-01,2
178,249,25,36,lose,2025-04-01,3
179,249,26,36,lose,2025-04-01,4
180,249,26,36,win,2025-04-01,5
181,249,26,37,win,2025-04-01,1
182,249,26,38,win,2025-04-01,1
183,249,26,39,win,2025-04-01,1
184,249,26,40,lose,2025-04-01,1
185,249,26,40,lose,2025-04-01,2
186,249,26,40,lose,2025-04-01,3
187,249,27,40,win,2025-04-01,4
188,249,27,41,lose,2025-04-01,1
189,249,27,41,win,2025-04-01,2
190,249,27,42,lose,2025-04-01,1
191,249,27,42,win,2025-04-01,2
192,249,27,43,win,2025-04-01,1
193,249,27,44,win,2025-04-01,1
194,249,27,45,win,2025-04-01,1
195,249,27,46,lose,2025-04-01,1
196,249,27,46,lose,2025-04-01,2
197,249,28,46,lose,2025-04-01,3
198,249,28,46,win,2025-04-01,4
199,249,28,47,win,2025-04-01,1
200,249,28,48,win,2025-04-01,1
201,249,28,49,win,2025-04-01,1
202,249,28,50,win,2025-04-01,1
203,249,28,51,lose,2025-04-01,1
204,249,28,51,win,2025-04-01,2
205,249,28,52,lose,2025-04-01,1
206,249,28,52,win,2025-04-01,2
207,249,28,53,win,2025-04-01,1
208,249,28,54,win,2025-04-01,1
209,249,28,55,win,2025-04-01,1
210,249,28,56,win,2025-04-01,1
211,249,28,57,win,2025-04-01,1
212,249,28,58,win,2025-04-01,1
213,249,28,59,win,2025-04-01,1
214,249,28,60,win,2025-04-01,1
215,249,28,61,win,2025-04-01,1
216,249,28,62,lose,2025-04-01,1
217,249,28,62,win,2025-04-01,2
218,249,28,63,win,2025-04-01,1
219,249,28,64,win,2025-04-01,1
220,249,28,65,win,2025-04-01,1
221,249,29,66,win,2025-04-01,1
222,249,29,67,win,2025-04-01,1
223,249,29,68,lose,2025-04-01,1
224,249,29,68,lose,2025-04-01,2
225,249,29,68,win,2025-04-01,3
226,249,29,69,lose,2025-04-01,1
227,249,29,69,win,2025-04-01,2
228,249,29,70,win,2025-04-01,1
229,249,29,71,win,2025-04-01,1
230,249,29,72,win,2025-04-01,1
231,249,29,73,win,2025-04-01,1
232,249,29,74,lose,2025-04-01,1
233,249,29,74,win,2025-04-01,2
234,249,29,75,win,2025-04-01,1
235,249,29,76,lose,2025-04-01,1
236,249,29,76,quit,2025-04-01,2
237,292,30,1,lose,2025-04-01,1
238,292,30,1,win,2025-04-01,2
239,292,30,2,lose,2025-04-01,1
240,292,30,2,lose,2025-04-01,2
241,292,31,2,win,2025-04-01,3
242,292,31,3,quit,2025-04-01,1
243,315,32,1,lose,2025-04-01,1
244,315,32,1,win,2025-04-01,2
245,315,32,2,win,2025-04-01,1
246,315,32,3,win,2025-04-01,1
247,315,32,4,win,2025-04-01,1
248,315,32,5,win,2025-04-01,1
249,315,32,6,win,2025-04-01,1
250,315,32,7,win,2025-04-01,1
251,315,32,8,win,2025-04-01,1
252,315,32,9,lose,2025-04-01,1
253,315,33,9,win,2025-04-01,2
254,315,33,10,win,2025-04-01,1
255,315,33,11,win,2025-04-01,1
256,315,33,12,win,2025-04-01,1
257,315,33,13,win,2025-04-01,1
258,315,33,14,win,2025-04-01,1
259,315,33,15,win,2025-04-01,1
260,315,33,16,win,2025-04-01,1
261,315,33,17,win,2025-04-01,1
262,315,33,18,win,2025-04-01,1
263,315,33,19,win,2025-04-01,1
264,315,33,20,win,2025-04-01,1
265,315,33,21,win,2025-04-01,1
266,315,33,22,win,2025-04-01,1
267,315,33,23,win,2025-04-01,1
268,331,34,1,quit,2025-04-01,1
269,331,35,1,quit,2025-04-01,2
270,361,36,1,lose,2025-04-01,1
271,361,36,1,quit,2025-04-01,2
272,425,37,1,win,2025-04-01,1
273,425,37,2,win,2025-04-01,1
274,425,37,3,quit,2025-04-01,1
275,470,38,1,win,2025-04-01,1
276,470,38,2,quit,2025-04-01,1
277,470,39,2,win,2025-04-01,2
278,470,39,3,win,2025-04-01,1
279,470,39,4,win,2025-04-01,1
280,470,39,5,win,2025-04-01,1
281,470,39,6,win,2025-04-01,1
282,470,39,7,win,2025-04-01,1
283,470,39,8,win,2025-04-01,1
284,470,39,9,win,2025-04-01,1
285,470,39,10,win,2025-04-01,1
286,470,39,11,win,2025-04-01,1
287,470,39,12,win,2025-04-01,1
288,470,39,13,win,2025-04-01,1
289,470,39,14,win,2025-04-01,1
290,470,39,15,win,2025-04-01,1
291,470,39,16,win,2025-04-01,1
292,470,39,17,win,2025-04-01,1
293,470,39,18,win,2025-04-01,1
294,470,39,19,win,2025-04-01,1
295,470,39,20,win,2025-04-01,1
296,470,39,21,win,2025-04-01,1
297,470,40,22,win,2025-04-01,1
298,470,40,23,win,2025-04-01,1
299,470,40,24,win,2025-04-01,1
300,470,40,25,win,2025-04-01,1
301,470,40,26,win,2025-04-01,1
302,470,40,27,lose,2025-04-01,1
303,470,40,27,win,2025-04-01,2
304,470,40,28,win,2025-04-01,1
305,470,40,29,win,2025-04-01,1
306,470,40,30,win,2025-04-01,1
307,470,40,31,lose,2025-04-01,1
308,470,40,31,win,2025-04-01,2
309,470,40,32,lose,2025-04-01,1
310,470,40,32,win,2025-04-01,2
311,470,40,33,win,2025-04-01,1
312,470,40,34,win,2025-04-01,1
313,470,40,35,win,2025-04-01,1
314,470,40,36,win,2025-04-01,1
315,470,40,37,win,2025-04-01,1
316,470,40,38,win,2025-04-01,1
317,470,40,39,win,2025-04-01,1
318,470,40,40,win,2025-04-01,1
319,470,40,41,win,2025-04-01,1
320,470,41,42,win,2025-04-01,1
321,470,41,43,win,2025-04-01,1
322,470,41,44,win,2025-04-01,1
323,470,41,45,lose,2025-04-01,1
324,470,41,45,lose,2025-04-01,2
325,470,41,45,lose,2025-04-01,3
326,470,42,45,win,2025-04-01,4
327,470,42,46,win,2025-04-01,1
328,470,42,47,lose,2025-04-01,1
329,470,42,47,lose,2025-04-01,2
330,470,42,47,lose,2025-04-01,3
331,470,42,47,lose,2025-04-01,4
332,470,42,47,win,2025-04-01,5
333,470,42,48,win,2025-04-01,1
334,470,42,49,win,2025-04-01,1
335,470,42,50,lose,2025-04-01,1
336,470,42,50,win,2025-04-01,2
337,470,42,51,win,2025-04-01,1
338,470,42,52,win,2025-04-01,1
339,470,42,53,quit,2025-04-01,1
340,470,43,53,win,2025-04-01,2
341,470,43,54,quit,2025-04-01,1
342,470,44,54,lose,2025-04-01,2
343,470,44,54,win,2025-04-01,3
344,470,44,55,lose,2025-04-01,1
345,470,44,55,win,2025-04-01,2
346,470,44,56,win,2025-04-01,1
347,470,44,57,win,2025-04-01,1
348,470,44,58,win,2025-04-01,1
349,470,44,59,lose,2025-04-01,1
350,470,44,59,win,2025-04-01,2
351,470,44,60,win,2025-04-01,1
352,470,44,61,win,2025-04-01,1
353,470,44,62,lose,2025-04-01,1
354,470,44,62,lose,2025-04-01,2
355,470,44,62,win,2025-04-01,3
356,470,44,63,lose,2025-04-01,1
357,470,44,63,win,2025-04-01,2
358,470,44,64,quit,2025-04-01,1
359,470,45,64,win,2025-04-01,2
360,470,45,65,lose,2025-04-01,1
361,470,45,65,win,2025-04-01,2
362,470,45,66,win,2025-04-01,1
363,470,45,67,lose,2025-04-01,1
364,470,45,67,win,2025-04-01,2
365,470,45,68,quit,2025-04-01,1
366,470,46,68,lose,2025-04-01,2
367,470,46,68,lose,2025-04-01,3
368,470,46,68,quit,2025-04-01,4
369,481,47,1,win,2025-04-01,1
370,481,47,2,win,2025-04-01,1
371,481,47,3,win,2025-04-01,1
372,481,47,4,win,2025-04-01,1
373,481,47,5,quit,2025-04-01,1
374,481,48,5,win,2025-04-01,2
375,481,48,6,win,2025-04-01,1
376,481,48,7,win,2025-04-01,1
377,481,48,8,win,2025-04-01,1
378,481,48,9,win,2025-04-01,1
379,481,48,10,lose,2025-04-01,1
380,481,49,10,quit,2025-04-01,2
381,30,50,3,lose,2025-04-02,2
382,30,50,3,win,2025-04-02,3
383,30,50,4,win,2025-04-02,1
384,30,50,5,win,2025-04-02,1
385,30,50,6,quit,2025-04-02,1
386,69,51,1,win,2025-04-02,1
387,69,51,2,lose,2025-04-02,1
388,69,51,2,lose,2025-04-02,2
389,69,51,2,win,2025-04-02,3
390,69,51,3,win,2025-04-02,1
391,69,51,4,win,2025-04-02,1
392,69,51,5,win,2025-04-02,1
393,78,52,5,win,2025-04-02,3
394,78,52,6,win,2025-04-02,1
395,78,52,7,lose,2025-04-02,1
396,78,53,7,win,2025-04-02,2
397,78,53,8,win,2025-04-02,1
398,78,53,9,win,2025-04-02,1
399,78,53,10,lose,2025-04-02,1
400,83,54,1,lose,2025-04-02,1
401,83,54,1,win,2025-04-02,2
402,83,54,2,lose,2025-04-02,1
403,83,54,2,win,2025-04-02,2
404,83,54,3,win,2025-04-02,1
405,83,54,4,lose,2025-04-02,1
406,83,55,4,win,2025-04-02,2
407,83,55,5,quit,2025-04-02,1
408,92,56,1,win,2025-04-02,1
409,92,56,2,win,2025-04-02,1
410,92,56,3,win,2025-04-02,1
411,92,56,4,lose,2025-04-02,1
412,92,56,4,win,2025-04-02,2
413,92,56,5,win,2025-04-02,1
414,92,56,6,win,2025-04-02,1
415,92,56,7,win,2025-04-02,1
416,92,56,8,win,2025-04-02,1
417,92,56,9,win,2025-04-02,1
418,92,56,10,quit,2025-04-02,1
419,92,57,10,win,2025-04-02,2
420,92,57,11,lose,2025-04-02,1
421,92,57,11,win,2025-04-02,2
422,92,57,12,win,2025-04-02,1
423,92,57,13,win,2025-04-02,1
424,92,57,14,win,2025-04-02,1
425,92,57,15,lose,2025-04-02,1
426,92,57,15,lose,2025-04-02,2
427,92,58,15,win,2025-04-02,3
428,92,58,16,win,2025-04-02,1
429,92,58,17,win,2025-04-02,1
430,92,58,18,quit,2025-04-02,1
431,92,59,18,win,2025-04-02,2
432,92,59,19,win,2025-04-02,1
433,92,59,20,win,2025-04-02,1
434,92,59,21,lose,2025-04-02,1
435,92,59,21,win,2025-04-02,2
436,92,59,22,win,2025-04-02,1
437,92,59,23,win,2025-04-02,1
438,92,59,24,win,2025-04-02,1
439,92,59,25,lose,2025-04-02,1
440,92,59,25,win,2025-04-02,2
441,92,59,26,win,2025-04-02,1
442,92,59,27,win,2025-04-02,1
443,96,60,1,win,2025-04-02,1
444,96,60,2,win,2025-04-02,1
445,96,60,3,win,2025-04-02,1
446,96,60,4,win,2025-04-02,1
447,96,60,5,lose,2025-04-02,1
448,97,61,12,quit,2025-04-02,3
449,101,62,1,quit,2025-04-02,1
450,105,63,1,win,2025-04-02,1
451,105,63,2,win,2025-04-02,1
452,105,63,3,quit,2025-04-02,1
453,105,64,3,win,2025-04-02,2
454,105,64,4,win,2025-04-02,1
455,105,64,5,win,2025-04-02,1
456,105,64,6,win,2025-04-02,1
457,105,64,7,win,2025-04-02,1
458,105,64,8,win,2025-04-02,1
459,105,64,9,win,2025-04-02,1
460,105,64,10,win,2025-04-02,1
461,105,64,11,win,2025-04-02,1
462,105,64,12,win,2025-04-02,1
463,105,64,13,win,2025-04-02,1
464,105,64,14,win,2025-04-02,1
465,105,64,15,win,2025-04-02,1
466,105,64,16,win,2025-04-02,1
467,105,64,17,win,2025-04-02,1
468,105,64,18,win,2025-04-02,1
469,105,64,19,win,2025-04-02,1
470,105,64,20,win,2025-04-02,1
471,105,64,21,win,2025-04-02,1
472,105,64,22,win,2025-04-02,1
473,107,65,1,win,2025-04-02,1
474,107,65,2,win,2025-04-02,1
475,107,65,3,lose,2025-04-02,1
476,107,65,3,win,2025-04-02,2
477,107,65,4,win,2025-04-02,1
478,107,65,5,quit,2025-04-02,1
479,107,66,5,win,2025-04-02,2
480,107,66,6,win,2025-04-02,1
481,107,66,7,win,2025-04-02,1
482,107,66,8,win,2025-04-02,1
483,107,66,9,win,2025-04-02,1
484,150,67,1,lose,2025-04-02,1
485,150,67,1,lose,2025-04-02,2
486,150,68,1,win,2025-04-02,3
487,150,68,2,win,2025-04-02,1
488,150,68,3,win,2025-04-02,1
489,150,68,4,win,2025-04-02,1
490,150,68,5,win,2025-04-02,1
491,150,69,6,win,2025-04-02,1
492,150,69,7,win,2025-04-02,1
493,150,69,8,lose,2025-04-02,1
494,150,69,8,win,2025-04-02,2
495,150,69,9,quit,2025-04-02,1
496,150,70,9,win,2025-04-02,2
497,150,70,10,win,2025-04-02,1
498,150,70,11,win,2025-04-02,1
499,150,70,12,quit,2025-04-02,1
500,157,71,27,win,2025-04-02,2
501,157,71,28,win,2025-04-02,1
502,157,71,29,win,2025-04-02,1
503,157,71,30,win,2025-04-02,1
504,157,71,31,win,2025-04-02,1
505,157,71,32,lose,2025-04-02,1
506,157,71,32,lose,2025-04-02,2
507,198,72,1,win,2025-04-02,1
508,198,72,2,lose,2025-04-02,1
509,198,72,2,win,2025-04-02,2
510,198,72,3,win,2025-04-02,1
511,198,72,4,win,2025-04-02,1
512,198,72,5,win,2025-04-02,1
513,198,72,6,win,2025-04-02,1
514,198,72,7,win,2025-04-02,1
515,198,72,8,win,2025-04-02,1
516,198,72,9,win,2025-04-02,1
517,198,72,10,win,2025-04-02,1
518,198,72,11,win,2025-04-02,1
519,198,72,12,win,2025-04-02,1
520,198,72,13,win,2025-04-02,1
521,198,72,14,win,2025-04-02,1
522,198,72,15,win,2025-04-02,1
523,198,73,16,win,2025-04-02,1
524,198,73,17,win,2025-04-02,1
525,198,73,18,win,2025-04-02,1
526,198,73,19,quit,2025-04-02,1
527,209,74,1,quit,2025-04-02,1
528,209,75,1,win,2025-04-02,2
529,209,75,2,win,2025-04-02,1
530,209,75,3,win,2025-04-02,1
531,209,75,4,lose,2025-04-02,1
532,211,76,19,lose,2025-04-02,1
533,231,77,40,lose,2025-04-02,3
534,231,77,40,win,2025-04-02,4
535,231,77,41,win,2025-04-02,1
536,231,77,42,win,2025-04-02,1
537,231,77,43,win,2025-04-02,1
538,231,77,44,win,2025-04-02,1
539,231,77,45,quit,2025-04-02,1
540,231,78,45,lose,2025-04-02,2
541,231,78,45,lose,2025-04-02,3
542,231,78,45,win,2025-04-02,4
543,231,78,46,win,2025-04-02,1
544,231,78,47,quit,2025-04-02,1
545,231,79,47,win,2025-04-02,2
546,231,79,48,lose,2025-04-02,1
547,231,79,48,win,2025-04-02,2
548,231,79,49,win,2025-04-02,1
549,231,79,50,win,2025-04-02,1
550,231,79,51,win,2025-04-02,1
551,231,79,52,win,2025-04-02,1
552,231,79,53,win,2025-04-02,1
553,231,79,54,win,2025-04-02,1
554,231,79,55,win,2025-04-02,1
555,231,79,56,win,2025-04-02,1
556,231,80,57,win,2025-04-02,1
557,231,80,58,quit,2025-04-02,1
558,231,81,58,lose,2025-04-02,2
559,231,81,58,win,2025-04-02,3
560,231,81,59,win,2025-04-02,1
561,231,81,60,win,2025-04-02,1
562,231,81,61,quit,2025-04-02,1
563,231,82,61,win,2025-04-02,2
564,231,82,62,win,2025-04-02,1
565,231,82,63,lose,2025-04-02,1
566,231,82,63,lose,2025-04-02,2
567,231,82,63,win,2025-04-02,3
568,231,82,64,lose,2025-04-02,1
569,231,82,64,lose,2025-04-02,2
570,231,82,64,quit,2025-04-02,3
571,238,83,1,quit,2025-04-02,1
572,238,84,1,win,2025-04-02,2
573,238,84,2,win,2025-04-02,1
574,238,84,3,win,2025-04-02,1
575,238,84,4,lose,2025-04-02,1
576,238,85,4,win,2025-04-02,2
577,238,85,5,lose,2025-04-02,1
578,238,85,5,win,2025-04-02,2
579,238,85,6,quit,2025-04-02,1
580,238,86,6,win,2025-04-02,2
581,238,86,7,win,2025-04-02,1
582,238,86,8,quit,2025-04-02,1
583,238,87,8,win,2025-04-02,2
584,238,87,9,win,2025-04-02,1
585,238,87,10,win,2025-04-02,1
586,238,87,11,win,2025-04-02,1
587,238,87,12,lose,2025-04-02,1
588,238,88,12,win,2025-04-02,2
589,238,88,13,win,2025-04-02,1
590,238,88,14,win,2025-04-02,1
591,238,88,15,win,2025-04-02,1
592,238,88,16,lose,2025-04-02,1
593,238,88,16,win,2025-04-02,2
594,249,89,76,win,2025-04-02,3
595,249,89,77,win,2025-04-02,1
596,249,89,78,lose,2025-04-02,1
597,249,89,78,win,2025-04-02,2
598,249,89,79,lose,2025-04-02,1
599,249,89,79,win,2025-04-02,2
600,249,89,80,win,2025-04-02,1
601,249,89,81,win,2025-04-02,1
602,249,89,82,win,2025-04-02,1
603,249,89,83,win,2025-04-02,1
604,249,89,84,win,2025-04-02,1
605,249,89,85,win,2025-04-02,1
606,249,89,86,quit,2025-04-02,1
607,249,90,86,win,2025-04-02,2
608,249,90,87,lose,2025-04-02,1
609,249,90,87,lose,2025-04-02,2
610,249,90,87,win,2025-04-02,3
611,249,90,88,win,2025-04-02,1
612,249,90,89,lose,2025-04-02,1
613,249,90,89,lose,2025-04-02,2
614,249,90,89,lose,2025-04-02,3
615,249,90,89,win,2025-04-02,4
616,249,90,90,lose,2025-04-02,1
617,249,90,90,lose,2025-04-02,2
618,249,90,90,lose,2025-04-02,3
619,249,90,90,lose,2025-04-02,4
620,249,90,90,lose,2025-04-02,5
621,249,91,90,lose,2025-04-02,6
622,249,91,90,win,2025-04-02,7
623,249,91,91,win,2025-04-02,1
624,249,91,92,win,2025-04-02,1
625,249,91,93,win,2025-04-02,1
626,249,91,94,win,2025-04-02,1
627,249,91,95,win,2025-04-02,1
628,249,91,96,win,2025-04-02,1
629,249,91,97,win,2025-04-02,1
630,249,91,98,win,2025-04-02,1
631,249,91,99,win,2025-04-02,1
632,249,91,100,win,2025-04-02,1
633,249,91,101,lose,2025-04-02,1
634,249,91,101,win,2025-04-02,2
635,249,91,102,lose,2025-04-02,1
636,249,91,102,lose,2025-04-02,2
637,249,91,102,win,2025-04-02,3
638,249,91,103,lose,2025-04-02,1
639,249,91,103,win,2025-04-02,2
640,249,91,104,lose,2025-04-02,1
641,249,91,104,lose,2025-04-02,2
642,249,91,104,lose,2025-04-02,3
643,249,91,104,lose,2025-04-02,4
644,249,91,104,lose,2025-04-02,5
645,249,92,104,lose,2025-04-02,6
646,249,92,104,lose,2025-04-02,7
647,249,92,104,lose,2025-04-02,8
648,249,92,104,lose,2025-04-02,9
649,249,92,104,lose,2025-04-02,10
650,249,92,104,lose,2025-04-02,11
651,249,93,104,lose,2025-04-02,12
652,249,93,104,win,2025-04-02,13
653,249,93,105,lose,2025-04-02,1
654,249,93,105,lose,2025-04-02,2
655,249,94,105,win,2025-04-02,3
656,249,94,106,lose,2025-04-02,1
657,249,94,106,lose,2025-04-02,2
658,249,94,106,lose,2025-04-02,3
659,253,95,1,lose,2025-04-02,1
660,253,95,1,win,2025-04-02,2
661,253,95,2,lose,2025-04-02,1
662,253,95,2,lose,2025-04-02,2
663,253,95,2,win,2025-04-02,3
664,253,95,3,win,2025-04-02,1
665,253,95,4,win,2025-04-02,1
666,253,95,5,win,2025-04-02,1
667,253,95,6,win,2025-04-02,1
668,253,95,7,win,2025-04-02,1
669,253,95,8,win,2025-04-02,1
670,253,95,9,win,2025-04-02,1
671,253,95,10,win,2025-04-02,1
672,253,95,11,win,2025-04-02,1
673,253,95,12,quit,2025-04-02,1
674,253,96,12,lose,2025-04-02,2
