session_id,user_id,time_spent,event_time,event_date
1,30,87,2025-04-01,2025-04-01
2,78,171,2025-04-01,2025-04-01
3,78,168,2025-04-01,2025-04-01
4,78,165,2025-04-01,2025-04-01
5,97,283,2025-04-01,2025-04-01
6,97,225,2025-04-01,2025-04-01
7,97,232,2025-04-01,2025-04-01
8,97,285,2025-04-01,2025-04-01
9,97,220,2025-04-01,2025-04-01
10,157,269,2025-04-01,2025-04-01
11,157,300,2025-04-01,2025-04-01
12,157,218,2025-04-01,2025-04-01
13,157,365,2025-04-01,2025-04-01
14,157,393,2025-04-01,2025-04-01
15,211,223,2025-04-01,2025-04-01
16,211,206,2025-04-01,2025-04-01
17,231,307,2025-04-01,2025-04-01
18,231,302,2025-04-01,2025-04-01
19,231,134,2025-04-01,2025-04-01
20,231,420,2025-04-01,2025-04-01
21,231,214,2025-04-01,2025-04-01
22,231,333,2025-04-01,2025-04-01
23,249,1068,2025-04-01,2025-04-01
24,249,1011,2025-04-01,2025-04-01
25,249,947,2025-04-01,2025-04-01
26,249,1173,2025-04-01,2025-04-01
27,249,668,2025-04-01,2025-04-01
28,249,913,2025-04-01,2025-04-01
29,249,752,2025-04-01,2025-04-01
30,292,173,2025-04-01,2025-04-01
31,292,88,2025-04-01,2025-04-01
32,315,622,2025-04-01,2025-04-01
33,315,506,2025-04-01,2025-04-01
34,331,120,2025-04-01,2025-04-01
35,331,169,2025-04-01,2025-04-01
36,361,67,2025-04-01,2025-04-01
37,425,91,2025-04-01,2025-04-01
38,470,1074,2025-04-01,2025-04-01
39,470,1184,2025-04-01,2025-04-01
40,470,1085,2025-04-01,2025-04-01
41,470,1093,2025-04-01,2025-04-01
42,470,1147,2025-04-01,2025-04-01
43,470,917,2025-04-01,2025-04-01
44,470,939,2025-04-01,2025-04-01
45,470,776,2025-04-01,2025-04-01
46,470,836,2025-04-01,2025-04-01
47,481,300,2025-04-01,2025-04-01
48,481,360,2025-04-01,2025-04-01
49,481,155,2025-04-01,2025-04-01
50,30,30,2025-04-02,2025-04-02
51,69,92,2025-04-02,2025-04-02
52,78,207,2025-04-02,2025-04-02
53,78,97,2025-04-02,2025-04-02
54,83,246,2025-04-02,2025-04-02
